,Question,Answer,Maturity level,ESG,ESRS impact,,,
Process current,"Within the process dimension (equipment and production), what is your digital training and skills intelligence? Please click on the description that best fits your company's current situation. ","Digital trend logs and analytics are used to identify operator errors and uncover training gaps, informing reactive training interventions or procedural updates.",2,Social,Training & skills,,,
Process current,"Within the process dimension (equipment and production), what is your digital training and skills intelligence? Please click on the description that best fits your company's current situation. ","Predictive AR/HMI systems analyze upcoming tasks and operator profiles to forecast where task complexity or variation may require additional training, enabling proactive preparation.",3,Social,Training & skills,,,
Process current,"Within the process dimension (equipment and production), what is your digital training and skills intelligence? Please click on the description that best fits your company's current situation. ","Digital overlays and contextual guidance systems (via AR or enhanced HMI) are deployed in real time, supporting hands-on learning through adaptive instructions, alerts, and reinforcement at the point of use.",4,Social,Training & skills,,,
Process current,"Within the process dimension (equipment and production), what is your digital training and skills intelligence? Please click on the description that best fits your company's current situation. ","AI-driven AR bots and HMI systems autonomously personalize interfaces, learning modules, and feedback based on worker performance, learning styles, and needs, ensuring inclusive, just-in-time skill development across all roles and shifts.",5,Social,Training & skills,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital training and skills intelligence? Please click on the description that best fits your company's future desired situation. ",Human-Machine Interfaces (HMI) and dashboards are used for static data display only. They provide limited or no support for learning or skill development during task execution.,1,Social,Training & skills,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital training and skills intelligence? Please click on the description that best fits your company's future desired situation. ","Digital trend logs and analytics are used to identify operator errors and uncover training gaps, informing reactive training interventions or procedural updates.",2,Social,Training & skills,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital training and skills intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive AR/HMI systems analyze upcoming tasks and operator profiles to forecast where task complexity or variation may require additional training, enabling proactive preparation.",3,Social,Training & skills,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital training and skills intelligence? Please click on the description that best fits your company's future desired situation. ","Digital overlays and contextual guidance systems (via AR or enhanced HMI) are deployed in real time, supporting hands-on learning through adaptive instructions, alerts, and reinforcement at the point of use.",4,Social,Training & skills,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital training and skills intelligence? Please click on the description that best fits your company's future desired situation. ","AI-driven AR bots and HMI systems autonomously personalize interfaces, learning modules, and feedback based on worker performance, learning styles, and needs, ensuring inclusive, just-in-time skill development across all roles and shifts.",5,Social,Training & skills,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital training and skills integration? Please click on the description that best fits your company's current situation. ","General training policies exist, but they are not linked to digital tools. Learning programs are static and not tailored to individual or operational needs.",1,Social,Training & skills,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital training and skills integration? Please click on the description that best fits your company's current situation. ","Policies require diagnostics of training gaps using digital platforms, identifying current competency levels and areas needing improvement across roles.",2,Social,Training & skills,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital training and skills integration? Please click on the description that best fits your company's current situation. ","Policies require predictive modelling of workforce skills gaps, using data to forecast future learning needs and align training with evolving job requirements.",3,Social,Training & skills,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital training and skills integration? Please click on the description that best fits your company's current situation. ","Policies mandate prescriptive training tools, delivering real-time, role-specific learning based on operational context and individual performance.",4,Social,Training & skills,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital training and skills integration? Please click on the description that best fits your company's current situation. ","Policies require adaptive digital learning platforms, which autonomously deliver personalised and inclusive training pathways, continuously optimising content with minimal human intervention.",5,Social,Training & skills,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital training and skills integration? Please click on the description that best fits your company's future desired situation. ","General training policies exist, but they are not linked to digital tools. Learning programs are static and not tailored to individual or operational needs.",1,Social,Training & skills,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital training and skills integration? Please click on the description that best fits your company's future desired situation. ","Policies require diagnostics of training gaps using digital platforms, identifying current competency levels and areas needing improvement across roles.",2,Social,Training & skills,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital training and skills integration? Please click on the description that best fits your company's future desired situation. ","Policies require predictive modelling of workforce skills gaps, using data to forecast future learning needs and align training with evolving job requirements.",3,Social,Training & skills,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital training and skills integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate prescriptive training tools, delivering real-time, role-specific learning based on operational context and individual performance.",4,Social,Training & skills,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital training and skills integration? Please click on the description that best fits your company's future desired situation. ","Policies require adaptive digital learning platforms, which autonomously deliver personalised and inclusive training pathways, continuously optimising content with minimal human intervention.",5,Social,Training & skills,,,
People current,"Within the people dimension (skills and knowledge), what is your digital occupation health & safety competence? Please click on the description that best fits your company's current situation. ","Awareness sessions introduce employees to common safety risks and the potential of basic digital tools (e.g., SPC, AR) to support safer work practices.",1,Social,Health & safety,,,
People current,"Within the people dimension (skills and knowledge), what is your digital occupation health & safety competence? Please click on the description that best fits your company's current situation. ",Employees receive training on using diagnostic dashboards and AR overlays that highlight hazards and provide real-time safety guidance to prevent incidents.,2,Social,Health & safety,,,
People current,"Within the people dimension (skills and knowledge), what is your digital occupation health & safety competence? Please click on the description that best fits your company's current situation. ","Staff interpret predictive safety alerts (e.g., fatigue risk, equipment hazards) and proactively adapt work routines or schedules to reduce risk.",3,Social,Health & safety,,,
People current,"Within the people dimension (skills and knowledge), what is your digital occupation health & safety competence? Please click on the description that best fits your company's current situation. ","Employees work with prescriptive systems that recommend adjustments to workflows, task sequencing, or safety procedures based on real-time risk assessments and operational data.",4,Social,Health & safety,,,
People current,"Within the people dimension (skills and knowledge), what is your digital occupation health & safety competence? Please click on the description that best fits your company's current situation. ","Employees actively contribute to digital safety platforms that learn from feedback, incidents, and near-misses. Systems continuously optimise alerts, guidance, and task flows to enhance safety performance across the organization.",5,Social,Health & safety,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital occupation health & safety competence? Please click on the description that best fits your company's future desired situation. ","Awareness sessions introduce employees to common safety risks and the potential of basic digital tools (e.g., SPC, AR) to support safer work practices.",1,Social,Health & safety,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital occupation health & safety competence? Please click on the description that best fits your company's future desired situation. ",Employees receive training on using diagnostic dashboards and AR overlays that highlight hazards and provide real-time safety guidance to prevent incidents.,2,Social,Health & safety,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital occupation health & safety competence? Please click on the description that best fits your company's future desired situation. ","Staff interpret predictive safety alerts (e.g., fatigue risk, equipment hazards) and proactively adapt work routines or schedules to reduce risk.",3,Social,Health & safety,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital occupation health & safety competence? Please click on the description that best fits your company's future desired situation. ","Employees work with prescriptive systems that recommend adjustments to workflows, task sequencing, or safety procedures based on real-time risk assessments and operational data.",4,Social,Health & safety,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital occupation health & safety competence? Please click on the description that best fits your company's future desired situation. ","Employees actively contribute to digital safety platforms that learn from feedback, incidents, and near-misses. Systems continuously optimise alerts, guidance, and task flows to enhance safety performance across the organization.",5,Social,Health & safety,,,
Process current,"Within the process dimension (equipment and production), what is your digital occupation health & safety intelligence? Please click on the description that best fits your company's current situation. ","Basic SPC (Statistical Process Control) dashboards display process data such as temperature, pressure, or output rates, but provide limited insight into safety-specific conditions or risks.",1,Social,Health & safety,,,
Process current,"Within the process dimension (equipment and production), what is your digital occupation health & safety intelligence? Please click on the description that best fits your company's current situation. ","Digital systems analyze causes of unsafe patterns, such as excessive vibrations, worker overload, or entry into restricted zones. Safety responses are reactive and reliant on manual intervention.",2,Social,Health & safety,,,
Process current,"Within the process dimension (equipment and production), what is your digital occupation health & safety intelligence? Please click on the description that best fits your company's current situation. ","Predictive tools identify early warning signs of process drift, ergonomic stress, mental/physical overload, or environmental hazards. Risk alerts are generated to guide preemptive actions.",3,Social,Health & safety,,,
Process current,"Within the process dimension (equipment and production), what is your digital occupation health & safety intelligence? Please click on the description that best fits your company's current situation. ","Systems automatically adjust task sequencing, pacing, or guidance in real time to prevent unsafe conditions. E.g., reducing manual workload, rerouting foot traffic, or triggering rest cycles.",4,Social,Health & safety,,,
Process current,"Within the process dimension (equipment and production), what is your digital occupation health & safety intelligence? Please click on the description that best fits your company's current situation. ","AI-driven systems continuously and autonomously manage workloads, task distribution, and hazard avoidance across operations; dynamically minimizing risk exposure without the need for operator input.",5,Social,Health & safety,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital occupation health & safety intelligence? Please click on the description that best fits your company's future desired situation. ","Basic SPC (Statistical Process Control) dashboards display process data such as temperature, pressure, or output rates, but provide limited insight into safety-specific conditions or risks.",1,Social,Health & safety,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital occupation health & safety intelligence? Please click on the description that best fits your company's future desired situation. ","Digital systems analyze causes of unsafe patterns, such as excessive vibrations, worker overload, or entry into restricted zones. Safety responses are reactive and reliant on manual intervention.",2,Social,Health & safety,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital occupation health & safety intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive tools identify early warning signs of process drift, ergonomic stress, mental/physical overload, or environmental hazards. Risk alerts are generated to guide preemptive actions.",3,Social,Health & safety,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital occupation health & safety intelligence? Please click on the description that best fits your company's future desired situation. ","Systems automatically adjust task sequencing, pacing, or guidance in real time to prevent unsafe conditions. E.g., reducing manual workload, rerouting foot traffic, or triggering rest cycles.",4,Social,Health & safety,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital occupation health & safety intelligence? Please click on the description that best fits your company's future desired situation. ","AI-driven systems continuously and autonomously manage workloads, task distribution, and hazard avoidance across operations; dynamically minimizing risk exposure without the need for operator input.",5,Social,Health & safety,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital occupation health & safety integration? Please click on the description that best fits your company's current situation. ","General OHS policies exist, but they are not linked to digital systems. Safety management relies on manual procedures and reactive reporting.",1,Social,Health & safety,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital occupation health & safety integration? Please click on the description that best fits your company's current situation. ","Policies require diagnostics of safety incidents and risks using digital tools, enabling visibility into unsafe conditions, near misses, and compliance gaps.",2,Social,Health & safety,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital occupation health & safety integration? Please click on the description that best fits your company's current situation. ","Policies mandate predictive systems for OHS risk forecasting, including models to anticipate incidents, monitor fatigue, and identify emerging hazards.",3,Social,Health & safety,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital occupation health & safety integration? Please click on the description that best fits your company's current situation. ","Policies enforce prescriptive systems that dynamically adjust task flows, safety zones, and work routines in real time to mitigate identified risks.",4,Social,Health & safety,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital occupation health & safety integration? Please click on the description that best fits your company's current situation. ","Policies require adaptive safety systems embedded into all operations, with autonomous platforms continuously optimising workplace safety conditions and requiring human oversight only for exceptions.",5,Social,Health & safety,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital occupation health & safety integration? Please click on the description that best fits your company's future desired situation. ","General OHS policies exist, but they are not linked to digital systems. Safety management relies on manual procedures and reactive reporting.",1,Social,Health & safety,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital occupation health & safety integration? Please click on the description that best fits your company's future desired situation. ","Policies require diagnostics of safety incidents and risks using digital tools, enabling visibility into unsafe conditions, near misses, and compliance gaps.",2,Social,Health & safety,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital occupation health & safety integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate predictive systems for OHS risk forecasting, including models to anticipate incidents, monitor fatigue, and identify emerging hazards.",3,Social,Health & safety,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital occupation health & safety integration? Please click on the description that best fits your company's future desired situation. ","Policies enforce prescriptive systems that dynamically adjust task flows, safety zones, and work routines in real time to mitigate identified risks.",4,Social,Health & safety,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital occupation health & safety integration? Please click on the description that best fits your company's future desired situation. ","Policies require adaptive safety systems embedded into all operations, with autonomous platforms continuously optimising workplace safety conditions and requiring human oversight only for exceptions.",5,Social,Health & safety,,,
People current,"Within the people dimension (skills and knowledge), what is your digital work-life balance competence? Please click on the description that best fits your company's current situation. ","Basic remote collaboration tools are available (e.g., video conferencing, shared documents) but are inconsistently used. Flexible work options are informal and not digitally managed.",1,Social,Work-life balance,,,
People current,"Within the people dimension (skills and knowledge), what is your digital work-life balance competence? Please click on the description that best fits your company's current situation. ","Teams use digital dashboards to identify inefficiencies in remote work models, such as uneven task distribution or excessive meeting loads, and begin optimizing team workflows.",2,Social,Work-life balance,,,
People current,"Within the people dimension (skills and knowledge), what is your digital work-life balance competence? Please click on the description that best fits your company's current situation. ","Teams apply predictive simulations and Digital Twin models to forecast workload peaks, reduce unnecessary on-site presence, and support more balanced task allocation across locations.",3,Social,Work-life balance,,,
People current,"Within the people dimension (skills and knowledge), what is your digital work-life balance competence? Please click on the description that best fits your company's current situation. ","Teams work with prescriptive digital systems to implement flexible schedules, redistribute tasks, and formalize hybrid work models based on team capacity and preferences.",4,Social,Work-life balance,,,
People current,"Within the people dimension (skills and knowledge), what is your digital work-life balance competence? Please click on the description that best fits your company's current situation. ","Adaptive digital platforms automatically optimize collaboration and workload planning using real-time data on employee stress, availability, and well-being, creating a dynamic system that supports sustainable work-life balance.",5,Social,Work-life balance,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital work-life balance competence? Please click on the description that best fits your company's future desired situation. ","Basic remote collaboration tools are available (e.g., video conferencing, shared documents) but are inconsistently used. Flexible work options are informal and not digitally managed.",1,Social,Work-life balance,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital work-life balance competence? Please click on the description that best fits your company's future desired situation. ","Teams use digital dashboards to identify inefficiencies in remote work models, such as uneven task distribution or excessive meeting loads, and begin optimizing team workflows.",2,Social,Work-life balance,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital work-life balance competence? Please click on the description that best fits your company's future desired situation. ","Teams apply predictive simulations and Digital Twin models to forecast workload peaks, reduce unnecessary on-site presence, and support more balanced task allocation across locations.",3,Social,Work-life balance,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital work-life balance competence? Please click on the description that best fits your company's future desired situation. ","Teams work with prescriptive digital systems to implement flexible schedules, redistribute tasks, and formalize hybrid work models based on team capacity and preferences.",4,Social,Work-life balance,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital work-life balance competence? Please click on the description that best fits your company's future desired situation. ","Adaptive digital platforms automatically optimize collaboration and workload planning using real-time data on employee stress, availability, and well-being, creating a dynamic system that supports sustainable work-life balance.",5,Social,Work-life balance,,,
Process current,"Within the process dimension (equipment and production), what is your digital work-life balance intelligence? Please click on the description that best fits your company's current situation. ",Tasks and workloads are tracked manually through MES reports or spreadsheets. There is limited insight into workload distribution or opportunities for remote/flexible task support.,1,Social,Work-life balance,,,
Process current,"Within the process dimension (equipment and production), what is your digital work-life balance intelligence? Please click on the description that best fits your company's current situation. ","Dashboards and reports are used to analyze workload imbalances, identify signs of overwork, and assess on-site task concentration. Interventions are reactive and typically manager-driven.",2,Social,Work-life balance,,,
Process current,"Within the process dimension (equipment and production), what is your digital work-life balance intelligence? Please click on the description that best fits your company's current situation. ","Digital tools forecast workload peaks, identify recurring overwork patterns, and anticipate needs for on-site presence; supporting proactive workforce planning.",3,Social,Work-life balance,,,
Process current,"Within the process dimension (equipment and production), what is your digital work-life balance intelligence? Please click on the description that best fits your company's current situation. ","Systems recommend or enable task redistribution, paced scheduling, and remote execution options (e.g., remote inspections, digital collaboration) to support individual and team work-life balance.",4,Social,Work-life balance,,,
Process current,"Within the process dimension (equipment and production), what is your digital work-life balance intelligence? Please click on the description that best fits your company's current situation. ","AI-enabled systems autonomously balance workloads, adjust shift schedules, and manage remote work flows in real time; optimizing productivity while protecting personal time, recovery, and flexibility across roles and sites.",5,Social,Work-life balance,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital work-life balance intelligence? Please click on the description that best fits your company's future desired situation. ",Tasks and workloads are tracked manually through MES reports or spreadsheets. There is limited insight into workload distribution or opportunities for remote/flexible task support.,1,Social,Work-life balance,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital work-life balance intelligence? Please click on the description that best fits your company's future desired situation. ","Dashboards and reports are used to analyze workload imbalances, identify signs of overwork, and assess on-site task concentration. Interventions are reactive and typically manager-driven.",2,Social,Work-life balance,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital work-life balance intelligence? Please click on the description that best fits your company's future desired situation. ","Digital tools forecast workload peaks, identify recurring overwork patterns, and anticipate needs for on-site presence; supporting proactive workforce planning.",3,Social,Work-life balance,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital work-life balance intelligence? Please click on the description that best fits your company's future desired situation. ","Systems recommend or enable task redistribution, paced scheduling, and remote execution options (e.g., remote inspections, digital collaboration) to support individual and team work-life balance.",4,Social,Work-life balance,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital work-life balance intelligence? Please click on the description that best fits your company's future desired situation. ","AI-enabled systems autonomously balance workloads, adjust shift schedules, and manage remote work flows in real time; optimizing productivity while protecting personal time, recovery, and flexibility across roles and sites.",5,Social,Work-life balance,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital work-life balance integration? Please click on the description that best fits your company's current situation. ","General work-life balance policies exist, but they are not connected to digital systems. Monitoring of workload and well-being is manual and ad hoc.",1,Social,Work-life balance,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital work-life balance integration? Please click on the description that best fits your company's current situation. ","Policies require diagnostics of overwork and work-life balance risks, using digital tools to track working hours, task loads, and well-being indicators.",2,Social,Work-life balance,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital work-life balance integration? Please click on the description that best fits your company's current situation. ","Policies require predictive modelling of workload and site visit risks, enabling proactive planning to mitigate burnout and support individual well-being.",3,Social,Work-life balance,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital work-life balance integration? Please click on the description that best fits your company's current situation. ","Policies mandate prescriptive systems to dynamically adjust work schedules, remote work options, and task balancing in response to real-time conditions.",4,Social,Work-life balance,,,
Policy current,"Within the policy dimension (strategy and formalization), what is your digital work-life balance integration? Please click on the description that best fits your company's current situation. ","Policies require adaptive digital systems that autonomously manage workload distribution, remote work scheduling, and task flows, with minimal human intervention and exception-based oversight.",5,Social,Work-life balance,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital work-life balance integration? Please click on the description that best fits your company's future desired situation. ","General work-life balance policies exist, but they are not connected to digital systems. Monitoring of workload and well-being is manual and ad hoc.",1,Social,Work-life balance,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital work-life balance integration? Please click on the description that best fits your company's future desired situation. ","Policies require diagnostics of overwork and work-life balance risks, using digital tools to track working hours, task loads, and well-being indicators.",2,Social,Work-life balance,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital work-life balance integration? Please click on the description that best fits your company's future desired situation. ","Policies require predictive modelling of workload and site visit risks, enabling proactive planning to mitigate burnout and support individual well-being.",3,Social,Work-life balance,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital work-life balance integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate prescriptive systems to dynamically adjust work schedules, remote work options, and task balancing in response to real-time conditions.",4,Social,Work-life balance,,,
Policy future,"Within the policy dimension (strategy and formalization), what is your goal for your digital work-life balance integration? Please click on the description that best fits your company's future desired situation. ","Policies require adaptive digital systems that autonomously manage workload distribution, remote work scheduling, and task flows, with minimal human intervention and exception-based oversight.",5,Social,Work-life balance,,,
People current,"Within the people dimension (skills and knowledge), what is your digital ethical culture & behavior competency? Please click on the description that best fits your company's current situation. ","Awareness sessions introduce employees to ethical reporting channels via MES, HMI dashboards, or other digital systems. Participation is minimal and mostly reactive.",1,Governance,Ethical culture & behavior,,,
People current,"Within the people dimension (skills and knowledge), what is your digital ethical culture & behavior competency? Please click on the description that best fits your company's current situation. ","Employees receive targeted training on how to identify misconduct, unsafe behaviors, or ethical concerns and report them through structured digital tools.",2,Governance,Ethical culture & behavior,,,
People current,"Within the people dimension (skills and knowledge), what is your digital ethical culture & behavior competency? Please click on the description that best fits your company's current situation. ","Staff are able to interpret predictive system alerts that flag recurring ethical or safety risks. They participate in resolution efforts, such as ethics committees or improvement teams.",3,Governance,Ethical culture & behavior,,,
People current,"Within the people dimension (skills and knowledge), what is your digital ethical culture & behavior competency? Please click on the description that best fits your company's current situation. ",Employees collaborate with prescriptive digital tools that provide structured guidance and escalation paths for ethical decision-making and risk mitigation.,4,Governance,Ethical culture & behavior,,,
People current,"Within the people dimension (skills and knowledge), what is your digital ethical culture & behavior competency? Please click on the description that best fits your company's current situation. ","Employees engage in adaptive, peer-driven communities of practice focused on ethics. Supported by anonymized digital reporting platforms and AI-assisted coaching, these systems evolve to foster a strong, self-sustaining ethical culture.",5,Governance,Ethical culture & behavior,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital ethical culture & behavior competency? Please click on the description that best fits your company's future desired situation. ","Awareness sessions introduce employees to ethical reporting channels via MES, HMI dashboards, or other digital systems. Participation is minimal and mostly reactive.",1,Governance,Ethical culture & behavior,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital ethical culture & behavior competency? Please click on the description that best fits your company's future desired situation. ","Employees receive targeted training on how to identify misconduct, unsafe behaviors, or ethical concerns and report them through structured digital tools.",2,Governance,Ethical culture & behavior,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital ethical culture & behavior competency? Please click on the description that best fits your company's future desired situation. ","Staff are able to interpret predictive system alerts that flag recurring ethical or safety risks. They participate in resolution efforts, such as ethics committees or improvement teams.",3,Governance,Ethical culture & behavior,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital ethical culture & behavior competency? Please click on the description that best fits your company's future desired situation. ",Employees collaborate with prescriptive digital tools that provide structured guidance and escalation paths for ethical decision-making and risk mitigation.,4,Governance,Ethical culture & behavior,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital ethical culture & behavior competency? Please click on the description that best fits your company's future desired situation. ","Employees engage in adaptive, peer-driven communities of practice focused on ethics. Supported by anonymized digital reporting platforms and AI-assisted coaching, these systems evolve to foster a strong, self-sustaining ethical culture.",5,Governance,Ethical culture & behavior,,,
Process current,"Within the process dimension (equipment & production), what is your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's current situation. ","Basic MES or HMI interfaces provide manual input channels for incident or ethics-related reporting. Reporting is often underused, with limited visibility or follow-up.",1,Governance,Ethical culture & behavior,,,
Process current,"Within the process dimension (equipment & production), what is your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's current situation. ","Systems log reported events and visualize trends, enabling diagnostic analysis of root causes and recurrence patterns related to misconduct, safety breaches, or ethical lapses.",2,Governance,Ethical culture & behavior,,,
Process current,"Within the process dimension (equipment & production), what is your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's current situation. ","Predictive analytics identify hotspots for potential ethical risks based on behavioral trends, absenteeism, prior incidents, and environmental or task-related factors.",3,Governance,Ethical culture & behavior,,,
Process current,"Within the process dimension (equipment & production), what is your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's current situation. ","Systems recommend process changes, task redistribution, or shift pattern adjustments to reduce exposure to unsafe or unethical conditions and promote positive workplace culture.",4,Governance,Ethical culture & behavior,,,
Process current,"Within the process dimension (equipment & production), what is your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's current situation. ","Autonomous systems monitor workflows in real time, detect potential unethical behavior, adjust operational flows accordingly, and trigger alerts or escalation protocols; ensuring rapid, anonymous, and protected reporting and intervention.",5,Governance,Ethical culture & behavior,,,
Process future,"Within the process dimension (equipment & production), what is your goal for your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's future desired situation. ","Basic MES or HMI interfaces provide manual input channels for incident or ethics-related reporting. Reporting is often underused, with limited visibility or follow-up.",1,Governance,Ethical culture & behavior,,,
Process future,"Within the process dimension (equipment & production), what is your goal for your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's future desired situation. ","Systems log reported events and visualize trends, enabling diagnostic analysis of root causes and recurrence patterns related to misconduct, safety breaches, or ethical lapses.",2,Governance,Ethical culture & behavior,,,
Process future,"Within the process dimension (equipment & production), what is your goal for your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive analytics identify hotspots for potential ethical risks based on behavioral trends, absenteeism, prior incidents, and environmental or task-related factors.",3,Governance,Ethical culture & behavior,,,
Process future,"Within the process dimension (equipment & production), what is your goal for your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's future desired situation. ","Systems recommend process changes, task redistribution, or shift pattern adjustments to reduce exposure to unsafe or unethical conditions and promote positive workplace culture.",4,Governance,Ethical culture & behavior,,,
Process future,"Within the process dimension (equipment & production), what is your goal for your digital ethical culture & behavior intelligence? Please click on the description that best fits your company's future desired situation. ","Autonomous systems monitor workflows in real time, detect potential unethical behavior, adjust operational flows accordingly, and trigger alerts or escalation protocols; ensuring rapid, anonymous, and protected reporting and intervention.",5,Governance,Ethical culture & behavior,,,
Policy current,"Within the policy dimension (equipment & production), what is your digital ethical culture & behavior integration? Please click on the description that best fits your company's current situation. ","General ethics reporting policies exist, but they are not linked to digital systems. Reporting is manual, reactive, and often lacks visibility or follow-up.",1,Governance,Ethical culture & behavior,,,
Policy current,"Within the policy dimension (equipment & production), what is your digital ethical culture & behavior integration? Please click on the description that best fits your company's current situation. ",Policies require all incident data to be logged and visualised through digital platforms such as MES (Manufacturing Execution Systems) and HMI (Human-Machine Interface) dashboards to ensure transparency and accountability.,2,Governance,Ethical culture & behavior,,,
Policy current,"Within the policy dimension (equipment & production), what is your digital ethical culture & behavior integration? Please click on the description that best fits your company's current situation. ","Policies mandate predictive analytics on ethics trends, enabling pre-emptive interventions by identifying patterns in behaviour, reporting frequency, and risk areas.",3,Governance,Ethical culture & behavior,,,
Policy current,"Within the policy dimension (equipment & production), what is your digital ethical culture & behavior integration? Please click on the description that best fits your company's current situation. ","Policies enforce prescriptive digital decision-support systems, guiding real-time escalation, response, and corrective actions based on ethical risk parameters.",4,Governance,Ethical culture & behavior,,,
Policy current,"Within the policy dimension (equipment & production), what is your digital ethical culture & behavior integration? Please click on the description that best fits your company's current situation. ","Policies require fully autonomous digital systems to manage and escalate ethical risks, maintaining anonymity, enabling continuous monitoring, and fostering a proactive, values-driven culture with minimal human involvement.",5,Governance,Ethical culture & behavior,,,
Policy future,"Within the policy dimension (equipment & production), what is your goal for your digital ethical culture & behavior integration? Please click on the description that best fits your company's future desired situation. ","General ethics reporting policies exist, but they are not linked to digital systems. Reporting is manual, reactive, and often lacks visibility or follow-up.",1,Governance,Ethical culture & behavior,,,
Policy future,"Within the policy dimension (equipment & production), what is your goal for your digital ethical culture & behavior integration? Please click on the description that best fits your company's future desired situation. ",Policies require all incident data to be logged and visualised through digital platforms such as MES (Manufacturing Execution Systems) and HMI (Human-Machine Interface) dashboards to ensure transparency and accountability.,2,Governance,Ethical culture & behavior,,,
Policy future,"Within the policy dimension (equipment & production), what is your goal for your digital ethical culture & behavior integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate predictive analytics on ethics trends, enabling pre-emptive interventions by identifying patterns in behaviour, reporting frequency, and risk areas.",3,Governance,Ethical culture & behavior,,,
